group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.4666666666666667,0.49107142857142855,0.4,15.0
S002,0.9333333333333333,0.9285714285714286,0.9321266968325792,15.0
S003,0.3333333333333333,0.3392857142857143,0.33035714285714285,15.0
S004,0.6666666666666666,0.6607142857142857,0.660633484162896,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5333333333333333,0.5,0.34782608695652173,30.0
S008,0.6,0.6071428571428572,0.5982142857142857,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.5666666666666667,0.5491071428571428,0.5238095238095237,30.0
