group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.7333333333333333,0.7321428571428572,0.7321428571428572,15.0
S002,0.6666666666666666,0.6875,0.6411483253588517,15.0
S003,0.3333333333333333,0.3482142857142857,0.3055555555555555,15.0
S004,0.4,0.41964285714285715,0.354066985645933,15.0
S005,0.4,0.375,0.2857142857142857,15.0
S006,0.43333333333333335,0.4151785714285714,0.3772893772893773,30.0
S008,0.6666666666666666,0.6875,0.6411483253588517,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.5666666666666667,0.5491071428571428,0.5238095238095237,30.0
