group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6,0.6071428571428572,0.5982142857142857,15.0
S002,0.7333333333333333,0.75,0.7222222222222222,15.0
S003,0.5333333333333333,0.5446428571428572,0.5248868778280543,15.0
S004,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5666666666666667,0.5758928571428572,0.5622895622895623,30.0
S008,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S009,0.4,0.3839285714285714,0.354066985645933,15.0
S010,0.4666666666666667,0.45535714285714285,0.4444444444444444,30.0
