group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.4666666666666667,0.5,0.3181818181818182,15.0
S002,0.7333333333333333,0.7321428571428572,0.7321428571428572,15.0
S003,0.26666666666666666,0.26785714285714285,0.26666666666666666,15.0
S004,0.6666666666666666,0.6517857142857143,0.6411483253588517,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5333333333333333,0.5,0.34782608695652173,30.0
S008,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.6,0.5848214285714286,0.569377990430622,30.0
