group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.4,0.41964285714285715,0.354066985645933,15.0
S002,0.8,0.7857142857142857,0.784688995215311,15.0
S003,0.3333333333333333,0.3214285714285714,0.3055555555555555,15.0
S004,0.5333333333333333,0.5178571428571428,0.49760765550239233,15.0
S005,0.4666666666666667,0.4375,0.3181818181818182,15.0
S006,0.5333333333333333,0.5,0.34782608695652173,30.0
S008,0.6,0.6071428571428572,0.5982142857142857,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.5,0.4776785714285714,0.42233632862644416,30.0
