group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.4666666666666667,0.4732142857142857,0.4642857142857143,15.0
S002,0.7333333333333333,0.75,0.7222222222222222,15.0
S003,0.6,0.5892857142857143,0.5833333333333333,15.0
S004,0.5333333333333333,0.5,0.34782608695652173,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5333333333333333,0.5044642857142857,0.4034090909090909,30.0
S008,0.4666666666666667,0.5,0.3181818181818182,15.0
S009,0.4666666666666667,0.5,0.3181818181818182,15.0
S010,0.5,0.5178571428571428,0.4712103407755582,30.0
