group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6,0.5982142857142857,0.5982142857142857,15.0
S002,0.8,0.8125,0.7963800904977376,15.0
S003,0.4,0.41964285714285715,0.354066985645933,15.0
S004,0.9333333333333333,0.9375,0.9333333333333333,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.4666666666666667,0.48214285714285715,0.4444444444444444,30.0
S008,0.7333333333333333,0.7321428571428572,0.7321428571428572,15.0
S009,0.4666666666666667,0.45535714285714285,0.4444444444444444,15.0
S010,0.4666666666666667,0.4732142857142857,0.4642857142857143,30.0
