group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S002,0.7333333333333333,0.75,0.7222222222222222,15.0
S003,0.5333333333333333,0.5357142857142857,0.5333333333333333,15.0
S004,0.6666666666666666,0.6785714285714286,0.660633484162896,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.4666666666666667,0.45535714285714285,0.4444444444444444,30.0
S008,0.6,0.6071428571428572,0.5982142857142857,15.0
S009,0.5333333333333333,0.5,0.34782608695652173,15.0
S010,0.5666666666666667,0.5535714285714286,0.5417156286721504,30.0
