group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6666666666666666,0.6607142857142857,0.660633484162896,15.0
S002,0.8,0.8125,0.7963800904977376,15.0
S003,0.3333333333333333,0.3482142857142857,0.3055555555555555,15.0
S004,0.9333333333333333,0.9375,0.9333333333333333,15.0
S005,0.5333333333333333,0.5,0.34782608695652173,15.0
S006,0.5,0.5089285714285714,0.4949494949494949,30.0
S008,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S009,0.5333333333333333,0.5089285714285714,0.4444444444444444,15.0
S010,0.43333333333333335,0.4419642857142857,0.4276094276094276,30.0
