group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S002,0.7333333333333333,0.75,0.7222222222222222,15.0
S003,0.4,0.4107142857142857,0.3891402714932127,15.0
S004,0.5333333333333333,0.5267857142857143,0.5248868778280543,15.0
S005,0.4,0.375,0.2857142857142857,15.0
S006,0.5333333333333333,0.5446428571428572,0.5248868778280543,30.0
S008,0.6666666666666666,0.6785714285714286,0.660633484162896,15.0
S009,0.4,0.3839285714285714,0.354066985645933,15.0
S010,0.43333333333333335,0.4285714285714286,0.4276094276094276,30.0
