group,accuracy,balanced_accuracy,macro_f1,row_count
12,0.3333333333333333,0.33035714285714285,0.33035714285714285,15.0
4,0.6,0.625,0.55,15.0
8,0.8,0.8035714285714286,0.8,15.0
