group,accuracy,balanced_accuracy,macro_f1,row_count
S001,0.6666666666666666,0.6696428571428572,0.6666666666666666,15.0
S002,0.6666666666666666,0.6785714285714286,0.660633484162896,15.0
S003,0.3333333333333333,0.3482142857142857,0.3055555555555555,15.0
S004,0.5333333333333333,0.5357142857142857,0.5333333333333333,15.0
S005,0.4,0.375,0.2857142857142857,15.0
S006,0.5666666666666667,0.5758928571428572,0.5622895622895623,30.0
S008,0.6666666666666666,0.6785714285714286,0.660633484162896,15.0
S009,0.4,0.375,0.2857142857142857,15.0
S010,0.5333333333333333,0.5267857142857143,0.5248868778280543,30.0
